2023-11-15 22:19:51.0229|Microsoft.AspNetCore.Server.Kestrel.Http2|TRACE|Connection id "0HMV5SNMN2ISV" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2023-11-15 22:19:51.0229|Microsoft.AspNetCore.Server.Kestrel.Http2|TRACE|Connection id "0HMV5SNMN2ISV" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2023-11-15 22:19:51.0229|Microsoft.AspNetCore.Server.Kestrel.Http2|TRACE|Connection id "0HMV5SNMN2ISV" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2023-11-15 22:19:51.0229|Microsoft.AspNetCore.Server.Kestrel.Http2|TRACE|Connection id "0HMV5SNMN2ISV" sending DATA frame for stream ID 5 with length 160 and flags NONE. 
2023-11-15 22:19:51.0229|Microsoft.AspNetCore.Server.Kestrel.Http2|TRACE|Connection id "0HMV5SNMN2ISV" sending DATA frame for stream ID 5 with length 0 and flags END_STREAM. 
2023-11-15 22:19:51.0229|Microsoft.AspNetCore.Hosting.Diagnostics|INFO|Request finished HTTP/2 GET https://localhost:7255/_vs/browserLink - - - 200 - text/javascript;+charset=UTF-8 49.4214ms 
2023-11-15 22:19:51.0727|Microsoft.AspNetCore.Server.Kestrel.Http2|TRACE|Connection id "0HMV5SNMN2ISV" received HEADERS frame for stream ID 7 with length 66 and flags END_STREAM, END_HEADERS, PRIORITY. 
2023-11-15 22:19:51.0727|Microsoft.AspNetCore.Hosting.Diagnostics|INFO|Request starting HTTP/2 GET https://localhost:7255/swagger/V1/swagger.json - - 
2023-11-15 22:19:51.0727|Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware|TRACE|All hosts are allowed. 
2023-11-15 22:19:51.0727|Microsoft.AspNetCore.Routing.Matching.DfaMatcher|DEBUG|No candidates found for the request path '/swagger/V1/swagger.json' 
2023-11-15 22:19:51.0727|Microsoft.AspNetCore.Routing.EndpointRoutingMiddleware|DEBUG|Request did not match any endpoints 
2023-11-15 22:19:51.2233|Microsoft.AspNetCore.Server.Kestrel.Http2|TRACE|Connection id "0HMV5SNMN2ISV" sending HEADERS frame for stream ID 7 with length 35 and flags END_HEADERS. 
2023-11-15 22:19:51.2233|Microsoft.AspNetCore.Server.Kestrel.Http2|TRACE|Connection id "0HMV5SNMN2ISV" sending DATA frame for stream ID 7 with length 13492 and flags NONE. 
2023-11-15 22:19:51.2233|Microsoft.AspNetCore.Server.Kestrel.Http2|TRACE|Connection id "0HMV5SNMN2ISV" sending DATA frame for stream ID 7 with length 0 and flags END_STREAM. 
2023-11-15 22:19:51.2233|Microsoft.AspNetCore.Hosting.Diagnostics|INFO|Request finished HTTP/2 GET https://localhost:7255/swagger/V1/swagger.json - - - 200 - application/json;charset=utf-8 148.5189ms 
2023-11-15 22:19:55.4293|Microsoft.AspNetCore.Server.Kestrel.Http2|TRACE|Connection id "0HMV5SNMN2ISV" received HEADERS frame for stream ID 9 with length 106 and flags END_STREAM, END_HEADERS, PRIORITY. 
2023-11-15 22:19:55.4293|Microsoft.AspNetCore.Hosting.Diagnostics|INFO|Request starting HTTP/2 GET https://localhost:7255/swagger/V2/swagger.json - - 
2023-11-15 22:19:55.4293|Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware|TRACE|All hosts are allowed. 
2023-11-15 22:19:55.4293|Microsoft.AspNetCore.Routing.Matching.DfaMatcher|DEBUG|No candidates found for the request path '/swagger/V2/swagger.json' 
2023-11-15 22:19:55.4293|Microsoft.AspNetCore.Routing.EndpointRoutingMiddleware|DEBUG|Request did not match any endpoints 
2023-11-15 22:19:55.4293|Microsoft.AspNetCore.Server.Kestrel.Http2|TRACE|Connection id "0HMV5SNMN2ISV" sending HEADERS frame for stream ID 9 with length 34 and flags END_HEADERS. 
2023-11-15 22:19:55.4293|Microsoft.AspNetCore.Server.Kestrel.Http2|TRACE|Connection id "0HMV5SNMN2ISV" sending DATA frame for stream ID 9 with length 15567 and flags NONE. 
2023-11-15 22:19:55.4293|Microsoft.AspNetCore.Server.Kestrel.Http2|TRACE|Connection id "0HMV5SNMN2ISV" sending DATA frame for stream ID 9 with length 0 and flags END_STREAM. 
2023-11-15 22:19:55.4293|Microsoft.AspNetCore.Hosting.Diagnostics|INFO|Request finished HTTP/2 GET https://localhost:7255/swagger/V2/swagger.json - - - 200 - application/json;charset=utf-8 6.2460ms 
2023-11-15 22:19:55.4293|Microsoft.AspNetCore.Server.Kestrel.Http2|TRACE|Connection id "0HMV5SNMN2ISV" received WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0. 
